Client,Warehouse,Product,2020-11-30,2020-12-07,2020-12-14
0,1,367,5.858571,5.39,5.39
0,1,639,,,
0,1,655,27.284117,27.342,27.342
0,1,1149,10.322858,10.71,10.71
0,1,1485,,,
0,1,1965,29.306765,29.012,29.012
0,1,1969,22.925385,23.175001,23.175001
0,1,3179,,,
0,1,3234,6.02,6.7400002,6.7400002
0,1,3463,23.24,23.23,23.23
0,1,3515,16.908571,15.61,15.61
0,1,4337,38.425,38.114998,38.114998
0,1,4431,32.788002,32.57,32.57
0,1,5317,4.7128572,4.32,4.32
0,1,5604,,,
0,1,5619,33.20214,33.0,33.0
0,1,5657,13.855714,14.809999,14.809999
0,1,5871,23.932858,24.304998,24.304998
0,1,6341,34.21125,31.869999,31.869999
0,1,6898,36.057693,35.985,35.985
0,1,7022,14.465714,13.385,13.385
0,1,7186,43.75357,45.760002,45.760002
0,1,7457,14.744286,15.4800005,15.4800005
0,1,7469,,,
0,1,7661,46.342857,46.216667,46.216667
0,1,7984,10.538571,9.839999,9.839999
0,1,8011,116.22,117.922,117.922
0,1,8157,6.0,6.35,6.35
0,1,8264,48.36857,49.13,49.13
0,1,8468,,,
0,1,8587,41.238575,42.350002,42.350002
0,1,8869,28.925714,28.58,28.58
0,1,10705,32.501427,34.19,34.19
0,1,11000,,,
0,1,11015,2.3514285,2.06,2.06
0,1,11526,41.87,41.77,41.77
0,1,11552,,,
0,1,11983,19.287142,21.19,21.19
0,1,12171,147.4654,152.43501,152.43501
0,1,12298,,,
0,1,14160,,,
0,1,14311,,,
0,3,0,,,
0,3,400,40.34375,40.430706,40.430706
0,3,439,,,
0,3,1102,23.850239,23.887451,23.887451
0,3,1154,145.47646,160.7513,160.7513
0,3,1181,,,
0,3,1274,,,
0,3,1536,9.900316,9.005417,9.005417
0,3,1704,17.078909,17.187826,17.187826
0,3,2119,,,
0,3,2391,,,
0,3,2506,6.772179,6.6955557,6.6955557
0,3,2628,38.94773,47.012104,47.012104
0,3,2838,,,
0,3,2884,12.588828,12.427941,12.427941
0,3,2949,56.50116,56.50116,56.50116
0,3,3401,,,
0,3,3419,,,
0,3,3520,26.72513,29.2968,29.2968
0,3,3583,12.795355,11.929,11.929
0,3,3702,,,
0,3,3751,,,
0,3,3778,,,
0,3,4285,64.93701,64.90786,64.90786
0,3,4520,,,
0,3,4592,16.088469,16.09381,16.09381
0,3,5023,,,
0,3,5274,,,
0,3,5376,,,
0,3,5456,35.228783,35.28804,35.28804
0,3,5493,186.92418,186.93236,186.93236
0,3,5512,,,
0,3,5599,,,
0,3,5824,,,
0,3,5901,,,
0,3,5933,,,
0,3,6100,,,
0,3,6289,,,
0,3,6436,46.489666,46.61851,46.61851
0,3,6581,,,
0,3,6614,,,
0,3,6816,,,
0,3,6838,,,
0,3,7256,35.431065,51.84282,51.84282
0,3,7299,48.095127,48.190712,48.190712
0,3,7363,20.282904,20.471539,20.471539
0,3,7918,47.7897,47.879837,47.879837
0,3,8087,,,
0,3,8123,71.97553,72.15276,72.15276
0,3,8196,,,
0,3,8313,51.389347,51.486874,51.486874
0,3,8439,39.2371,39.46815,39.46815
0,3,8689,,,
0,3,8754,52.839947,52.92216,52.92216
0,3,8851,11.8499565,11.711562,11.711562
0,3,8868,,,
0,3,8874,31.87292,31.929499,31.929499
0,3,9003,,,
0,3,9025,,,
0,3,9055,,,
0,3,9771,101.35082,101.46,101.46
0,3,9841,26.959158,26.84647,26.84647
0,3,10278,,,
0,3,10359,52.42049,52.340805,52.340805
0,3,10500,,,
0,3,11146,34.616146,32.274887,32.274887
0,3,11374,6.533532,6.479,6.479
0,3,11418,51.735794,51.54492,51.54492
0,3,11496,33.486855,33.87934,33.87934
0,3,11611,,,
0,3,12086,178.90883,179.30138,179.30138
0,3,12167,,,
0,3,12288,56.72222,56.96389,56.96389
0,3,12346,,,
0,3,12891,12.415358,12.268333,12.268333
0,3,13799,,,
0,3,13830,,,
0,3,13842,81.94965,82.17907,82.17907
0,3,13867,,,
0,3,13996,,,
0,3,14320,,,
0,20,4337,,,
0,20,4431,3.97,3.97,3.97
0,20,5871,,,
0,20,7457,,,
0,20,8011,,,
0,20,8264,4.3957143,4.39,4.39
0,20,8587,,,
0,44,207,31.300222,31.368572,31.368572
0,44,355,35.5268,35.2975,35.2975
0,44,394,,,
0,44,1345,,,
0,44,1768,41.209473,41.743332,41.743332
0,44,2277,127.190216,127.19022,127.19022
0,44,2622,,,
0,44,2762,35.46158,35.81667,35.81667
0,44,3283,28.232895,28.26,28.26
0,44,4673,171.49385,171.93085,171.93085
0,44,4801,,,
0,44,4893,63.273438,63.353996,63.353996
0,44,5147,45.22873,45.439,45.439
0,44,5513,44.48579,45.11667,45.11667
0,44,5563,,,
0,44,5921,41.767693,43.515003,43.515003
0,44,5924,31.706842,31.966665,31.966665
0,44,8140,,,
0,44,8654,,,
0,44,8726,60.40158,61.451668,61.451668
0,44,9290,21.447577,22.188,22.188
0,44,9438,51.606506,52.068,52.068
0,44,9541,,,
0,44,10021,,,
0,44,10424,32.16,32.16,32.16
